frame,state,mask_area,cx,cy,chamfer_px,closure_score
000212,static_on_table,2470,452.8,195.1,1.60,0.106
000213,static_on_table,2469,452.8,195.1,1.12,0.110
000214,static_on_table,2340,451.8,195.1,1.67,0.117
000215,static_on_table,2343,451.8,195.1,1.20,0.127
000216,static_on_table,2258,450.8,195.1,1.11,0.136
000217,static_on_table,2180,449.9,195.3,1.62,0.144
000218,static_on_table,2093,449.2,195.1,1.40,0.150
000219,static_on_table,2093,449.2,195.1,1.43,0.156
000220,static_on_table,2013,448.4,195.0,1.44,0.160
000221,static_on_table,2014,448.4,195.0,0.93,0.164
000222,static_on_table,1910,447.8,194.6,1.06,0.167
000223,static_on_table,1908,447.8,194.6,1.07,0.168
000224,static_on_table,1829,447.2,194.4,1.06,0.168
000225,static_on_table,1837,447.2,194.4,1.04,0.168
000226,static_on_table,1686,445.7,193.9,1.46,0.168
000227,static_on_table,1685,445.7,193.9,1.44,0.167
000228,static_on_table,1613,445.1,193.8,1.44,0.166
000229,static_on_table,1613,445.1,193.8,1.42,0.164
000230,static_on_table,1525,444.4,193.4,1.00,0.161
000231,static_on_table,1524,444.4,193.5,1.01,0.157
000232,static_on_table,1452,443.8,193.1,1.01,0.154
000233,static_on_table,1454,443.8,193.1,1.00,0.150
000234,static_on_table,1392,443.3,193.0,0.87,0.148
000235,static_on_table,1392,443.3,193.0,0.86,0.145
000236,static_on_table,1335,442.7,192.8,0.80,0.143
000237,static_on_table,1281,442.2,192.6,1.20,0.142
000238,static_on_table,1282,442.2,192.6,0.84,0.141
000239,static_on_table,1218,441.7,192.5,1.27,0.141
000240,static_on_table,1216,441.6,192.5,0.87,0.142
000241,static_on_table,1183,441.1,192.4,0.77,0.145
000242,static_on_table,1129,440.6,192.4,1.11,0.149
000243,static_on_table,1128,440.6,192.4,0.70,0.153
000244,static_on_table,1097,440.2,192.4,0.95,0.154
000245,static_on_table,1097,440.2,192.4,0.67,0.151
000246,static_on_table,1066,439.8,192.2,0.56,0.146
000247,static_on_table,1039,439.5,192.4,0.72,0.142
000248,static_on_table,1039,439.5,192.4,0.49,0.137
000249,static_on_table,1012,439.1,192.5,0.71,0.132
000250,static_on_table,992,438.8,192.5,0.63,0.129
000251,static_on_table,991,438.8,192.5,0.41,0.126
000252,static_on_table,966,438.5,192.7,0.61,0.124
000253,static_on_table,957,438.2,192.9,0.54,0.123
000254,static_on_table,957,438.2,192.9,0.41,0.121
000255,static_on_table,940,437.9,193.2,0.60,0.120
000256,static_on_table,938,437.9,193.2,0.40,0.119
000257,static_on_table,931,437.8,193.3,0.38,0.119
000258,static_on_table,930,437.8,193.3,0.39,0.118
000259,static_on_table,926,437.8,193.4,0.69,0.116
000260,static_on_table,927,437.8,193.4,0.70,0.113
000261,static_on_table,909,437.4,193.6,0.39,0.110
000262,static_on_table,896,437.2,194.0,0.58,0.109
000263,static_on_table,896,437.2,194.0,0.80,0.107
000264,static_on_table,886,437.0,194.2,0.94,0.105
000265,static_on_table,887,437.0,194.2,0.49,0.104
000266,static_on_table,879,436.7,194.5,0.48,0.102
000267,static_on_table,874,436.7,194.5,0.44,0.101
000268,static_on_table,868,436.7,194.6,0.43,0.095
000269,static_on_table,867,436.6,194.6,0.43,0.088
000270,static_on_table,852,436.5,194.8,0.44,0.081
000271,static_on_table,829,436.2,195.5,0.88,0.077
000272,static_on_table,831,436.2,195.5,0.76,0.075
000273,static_on_table,829,436.2,195.5,0.75,0.074
000274,static_on_table,796,435.7,196.0,0.85,0.074
000275,static_on_table,781,435.4,196.5,0.76,0.074
000276,static_on_table,780,435.4,196.5,0.77,0.075
000277,static_on_table,747,435.2,196.9,1.11,0.075
000278,static_on_table,747,435.2,196.9,0.77,0.074
000279,static_on_table,709,434.7,197.6,1.01,0.069
000280,static_on_table,707,434.7,197.6,0.98,0.063
000281,static_on_table,675,434.3,198.3,1.04,0.057
000282,static_on_table,674,434.3,198.2,1.02,0.052
000283,static_on_table,613,433.5,199.6,1.52,0.048
000284,static_on_table,611,433.5,199.6,1.52,0.045
000285,static_on_table,570,433.1,200.4,1.66,0.043
000286,static_on_table,572,433.1,200.3,1.60,0.043
000287,static_on_table,542,432.7,201.1,1.22,0.042
000288,static_on_table,542,432.7,201.1,1.22,0.042
000289,static_on_table,491,432.4,201.9,1.13,0.042
000290,static_on_table,491,432.4,201.9,1.17,0.043
000291,static_on_table,454,432.1,203.1,1.34,0.043
000292,static_on_table,453,432.1,203.1,1.35,0.044
000293,static_on_table,392,431.7,205.0,1.93,0.046
000294,static_on_table,386,431.7,205.0,1.93,0.048
000295,static_on_table,352,431.4,206.0,1.88,0.050
000296,static_on_table,352,431.4,206.0,1.87,0.051
000297,static_on_table,321,431.3,206.8,1.26,0.053
000298,static_on_table,297,431.4,208.0,1.67,0.054
000299,static_on_table,295,431.3,207.8,1.10,0.055
000300,static_on_table,260,431.0,208.2,1.48,0.056
000301,static_on_table,260,431.0,208.2,1.03,0.058
